Annotation	Gene	Input
"Alanine, aspartate and glutamate metabolism"	Adsl	1
"Alanine, aspartate and glutamate metabolism"	Adss	1
"Alanine, aspartate and glutamate metabolism"	Adssl1	1
"Alanine, aspartate and glutamate metabolism"	Agxt	1
"Alanine, aspartate and glutamate metabolism"	Agxt2	1
"Alanine, aspartate and glutamate metabolism"	Aldh4a1	1
"Alanine, aspartate and glutamate metabolism"	Aldh5a1	1
"Alanine, aspartate and glutamate metabolism"	Asl	1
"Alanine, aspartate and glutamate metabolism"	Asns	1
"Alanine, aspartate and glutamate metabolism"	Aspa	1
"Alanine, aspartate and glutamate metabolism"	Ass1	1
"Alanine, aspartate and glutamate metabolism"	Cad	1
"Alanine, aspartate and glutamate metabolism"	Cps1	1
"Alanine, aspartate and glutamate metabolism"	Ddo	1
"Alanine, aspartate and glutamate metabolism"	Folh1	1
"Alanine, aspartate and glutamate metabolism"	Gad1	1
"Alanine, aspartate and glutamate metabolism"	Gad2	1
"Alanine, aspartate and glutamate metabolism"	Gfpt1	1
"Alanine, aspartate and glutamate metabolism"	Gfpt2	1
"Alanine, aspartate and glutamate metabolism"	Gls	1
"Alanine, aspartate and glutamate metabolism"	Gls2	1
"Alanine, aspartate and glutamate metabolism"	Glud1	1
"Alanine, aspartate and glutamate metabolism"	Glul	1
"Alanine, aspartate and glutamate metabolism"	Got1	1
"Alanine, aspartate and glutamate metabolism"	Got2	1
"Alanine, aspartate and glutamate metabolism"	Gpt	1
"Alanine, aspartate and glutamate metabolism"	Gpt2	1
"Alanine, aspartate and glutamate metabolism"	Il4i1	1
"Alanine, aspartate and glutamate metabolism"	Il4i1b	1
"Alanine, aspartate and glutamate metabolism"	Lao1	1
"Alanine, aspartate and glutamate metabolism"	Nat8l	1
"Alanine, aspartate and glutamate metabolism"	Nit2	1
"Alanine, aspartate and glutamate metabolism"	Ppat	1
"Alanine, aspartate and glutamate metabolism"	Rimkla	1
"Alanine, aspartate and glutamate metabolism"	Rimklb	1
Aldosterone synthesis and secretion	Adcy1	1
Aldosterone synthesis and secretion	Adcy2	1
Aldosterone synthesis and secretion	Adcy3	1
Aldosterone synthesis and secretion	Adcy4	1
Aldosterone synthesis and secretion	Adcy5	1
Aldosterone synthesis and secretion	Adcy6	1
Aldosterone synthesis and secretion	Adcy7	1
Aldosterone synthesis and secretion	Adcy8	1
Aldosterone synthesis and secretion	Adcy9	1
Aldosterone synthesis and secretion	Agtr1a	1
Aldosterone synthesis and secretion	Agtr1b	1
Aldosterone synthesis and secretion	Atf1	1
Aldosterone synthesis and secretion	Atf2	1
Aldosterone synthesis and secretion	Atf4	1
Aldosterone synthesis and secretion	Atf6b	1
Aldosterone synthesis and secretion	Cacna1c	1
Aldosterone synthesis and secretion	Cacna1d	1
Aldosterone synthesis and secretion	Cacna1f	1
Aldosterone synthesis and secretion	Cacna1g	1
Aldosterone synthesis and secretion	Cacna1h	1
Aldosterone synthesis and secretion	Cacna1i	1
Aldosterone synthesis and secretion	Cacna1s	1
Aldosterone synthesis and secretion	Calm1	1
Aldosterone synthesis and secretion	Calm2	1
Aldosterone synthesis and secretion	Calm3	1
Aldosterone synthesis and secretion	Calm4	1
Aldosterone synthesis and secretion	Calm5	1
Aldosterone synthesis and secretion	Calml3	1
Aldosterone synthesis and secretion	Calml4	1
Aldosterone synthesis and secretion	Camk1	1
Aldosterone synthesis and secretion	Camk1d	1
Aldosterone synthesis and secretion	Camk1g	1
Aldosterone synthesis and secretion	Camk2a	1
Aldosterone synthesis and secretion	Camk2b	1
Aldosterone synthesis and secretion	Camk2d	1
Aldosterone synthesis and secretion	Camk2g	1
Aldosterone synthesis and secretion	Camk4	1
Aldosterone synthesis and secretion	Creb1	1
Aldosterone synthesis and secretion	Creb3	1
Aldosterone synthesis and secretion	Creb3l1	1
Aldosterone synthesis and secretion	Creb3l2	1
Aldosterone synthesis and secretion	Creb3l3	1
Aldosterone synthesis and secretion	Creb3l4	1
Aldosterone synthesis and secretion	Creb5	1
Aldosterone synthesis and secretion	Cyp11a1	1
Aldosterone synthesis and secretion	Cyp11b1	1
Aldosterone synthesis and secretion	Cyp21a1	1
Aldosterone synthesis and secretion	Dagla	1
Aldosterone synthesis and secretion	Daglb	1
Aldosterone synthesis and secretion	Gm10681	1
Aldosterone synthesis and secretion	Gna11	1
Aldosterone synthesis and secretion	Gnaq	1
Aldosterone synthesis and secretion	Gnas	1
Aldosterone synthesis and secretion	Hsd3b1	1
Aldosterone synthesis and secretion	Hsd3b2	1
Aldosterone synthesis and secretion	Hsd3b4	1
Aldosterone synthesis and secretion	Hsd3b5	1
Aldosterone synthesis and secretion	Hsd3b6	1
Aldosterone synthesis and secretion	Itpr1	1
Aldosterone synthesis and secretion	Itpr2	1
Aldosterone synthesis and secretion	Itpr3	1
Aldosterone synthesis and secretion	Kcnk3	1
Aldosterone synthesis and secretion	Kcnk9	1
Aldosterone synthesis and secretion	Ldlr	1
Aldosterone synthesis and secretion	Lipe	1
Aldosterone synthesis and secretion	Mc2r	1
Aldosterone synthesis and secretion	Npr1	1
Aldosterone synthesis and secretion	Nr4a1	1
Aldosterone synthesis and secretion	Nr4a2	1
Aldosterone synthesis and secretion	Orai1	1
Aldosterone synthesis and secretion	Pde2a	1
Aldosterone synthesis and secretion	Plcb1	1
