TF	Target	Corr
Npas4	Ppfia2	1
Npas4	Snx32	1
Npas4	Slc6a17	1
Npas4	Rgs7	1
Npas4	Tagln3	1
Npas4	Gpr85	1
Npas4	Rnft2	1
Npas4	Camk2b	1
Npas4	Prkar1b	1
Npas4	Grp	1
Npas4	Sst	1
Npas4	Vwa5b2	1
Npas4	Kif1a	1
Npas4	Syn2	1
Npas4	Gria1	1
Npas4	Celf6	1
Npas4	Cacna1b	1
Npas4	Cntnap2	1
Npas4	Nrxn1	1
Npas4	Fstl5	1
Npas4	Fgf14	1
Npas4	Ahi1	1
Npas4	Gabra2	1
Npas4	Chga	1
Npas4	Rasgrf1	1
Npas4	Gnao1	1
Npas4	Xkr4	1
Npas4	Syn1	1
Npas4	Erc2	1
Npas4	Rab3c	1
Npas4	Fezf2	1
Npas4	Rit2	1
Npas4	Tbr1	1
Npas4	Ppp2r2b	1
Npas4	Negr1	1
Npas4	Snap25	1
Npas4	Tubb3	1
Npas4	Apba2	1
Npas4	Neurod1	1
Npas4	Nsg2	1
Npas4	Kcna4	1
Npas4	Ntrk2	1
Npas4	Fez1	1
Npas4	Eno2	1
Npas4	Atcay	1
Npas4	Dcx	1
Npas4	Epha5	1
Npas4	Ctxn2	1
Npas4	Dpp6	1
Npas4	Icam5	1
Npas4	Slc29a4	1
Npas4	Kif5a	1
Npas4	Ncdn	1
Npas4	Lmo3	1
Npas4	Aplp1	1
Npas4	Serpini1	1
Npas4	Rgs7bp	1
Npas4	Fbxl16	1
Npas4	Gad1	1
Npas4	Phactr1	1
Npas4	Ids	1
Npas4	St8sia3	1
Npas4	Lrp11	1
Npas4	Clip3	1
Npas4	Rufy2	1
Npas4	Hpcal4	1
Npas4	Vgf	1
Npas4	Fam171b	1
Npas4	Dclk1	1
Npas4	Rcan3	1
Npas4	Sobp	1
Npas4	Lrp8	1
Npas4	Klhl32	1
Npas4	Nol4	1
Npas4	Crmp1	1
Npas4	Runx1t1	1
Npas4	Insm1	1
Npas4	Tbc1d9	1
Npas4	Stxbp1	1
Npas4	Ptprn	1
Npas4	Ppp2r2c	1
Npas4	Myt1l	1
Pdx1	Tmem163	1
Pdx1	Akr1c12	1
Pdx1	Akr1c13	1
Pdx1	Slc2a2	1
Pdx1	Akr1c19	1
Pdx1	Yipf5	1
Pdx1	Mnx1	1
Pdx1	Fam135a	1
Pdx1	St18	1
Pdx1	Etv1	1
Pdx1	Gck	1
Pdx1	Myt1	1
Pdx1	Neurog3	1
Pdx1	Serpini2	1
Pdx1	Gcg	1
Pdx1	Nkx6-1	1
Pdx1	Cela1	1
Pdx1	Hhex	1
Pdx1	Foxa2	1
Pdx1	Pax6	1
Pdx1	Ins2	1
Pdx1	Iapp	1
Pdx1	Ins1	1
Pdx1	Slc2a5	1
Pdx1	Cpa2	1
Pdx1	Neurod1	1
Pdx1	G6pc2	1
Pdx1	Spc25	1
Pdx1	Rcan3	1
Pdx1	Nr5a2	1
Pdx1	Nkx2-2	1
Pdx1	Pax4	1
Pdx1	Dmbt1	1
Pdx1	Trp53i13	1
Preb	Sec24c	1
Dnmt3a	Mat2a	1
Dnmt3a	Zfp329	1
Dnmt3a	Chd6	1
Dnmt3a	Ahcyl1	1
Dnmt3a	Zc3h13	1
Dnmt3a	Jkamp	1
Dnmt3a	Zfp46	1
Dnmt3a	Zfp322a	1
Dnmt3a	Tsn	1
Dnmt3a	2410004B18Rik	1
Dnmt3a	Dnmt1	1
Dnmt3a	Zfp251	1
Dnmt3a	Mat2b	1
Dnmt3a	Ppig	1
Dnmt3a	Nanog	1
Dnmt3a	Rnf7	1
Dnmt3a	Fkbp3	1
Dnmt3a	Zfp512	1
Dnmt3a	Pogz	1
Dnmt3a	Tet1	1
Dnmt3a	Amd1	1
Dnmt3a	Ehmt1	1
Dnmt3a	Polr2g	1
Dnmt3a	R3hdm1	1
Dnmt3a	Pou5f1	1
Dnmt3a	Dzip3	1
Dnmt3a	Ahcyl2	1
Dnmt3a	Ehmt2	1
Dnmt3a	Xpo1	1
Dnmt3a	Tro	1
Dnmt3a	Zfp330	1
Dnmt3a	Tsc1	1
Dnmt3a	H3f3a	1
Dnmt3a	Polr2b	1
Dnmt3a	Dnmt3l	1
Dnmt3a	Pds5b	1
Dnmt3a	Elp3	1
Dnmt3a	Ttc3	1
Dnmt3a	Gmeb1	1
Dnmt3a	Luc7l3	1
Dnmt3a	Ppp2ca	1
Dnmt3a	Asxl3	1
Hnrnpk	Matr3	1
Hnrnpk	Nup85	1
Smad2	Eri2	1
Smad2	Gata4	1
Smad2	Gxylt1	1
Smad2	Sp1	1
Smad2	Tgfbr2	1
Smad2	Hnrnpa0	1
Smad2	Znhit6	1
Smad2	Acvr1c	1
Smad2	Tab3	1
Smad2	Phf13	1
Smad2	Pitx2	1
Smad2	Ywhaq	1
Smad2	Npm1	1
Smad2	Lrrc40	1
Smad2	Zfyve16	1
Smad2	Col5a1	1
Smad2	Klf10	1
Smad2	Zzz3	1
Smad2	Myc	1
Smad2	Mef2a	1
Smad2	E2f4	1
Smad2	Rbx1	1
Smad2	Acvr1b	1
Smad2	Cct2	1
Smad2	Cnpy4	1
Smad2	Mcm4	1
Smad2	Zfp128	1
Smad2	Foxh1	1
Smad2	Dsn1	1
Smad2	Mphosph6	1
Smad2	Smarcad1	1
Smad2	Mecom	1
Smad2	Gstcd	1
Smad2	Tgfb2	1
Smad2	Sumo1	1
Smad2	Spin1	1
Smad2	Cct5	1
Smad2	Smad7	1
Smad2	Llgl1	1
Smad2	Zc3hav1l	1
Smad2	Cfdp1	1
Smad2	Marcksl1	1
Smad2	Zeb2	1
Smad2	Arhgap11a	1
Smad2	Prim1	1
Smad2	Tuba1b	1
Smad2	Morf4l2	1
Smad2	Rbbp5	1
Smad2	Tgfbr1	1
Smad2	Srsf3	1
Smad2	Ska2	1
Smad2	Lef1	1
Smad2	Nup93	1
Smad2	Rnf111	1
Smad2	Iws1	1
Smad2	Polr2g	1
Smad2	Dcaf13	1
Smad2	Hmgn1	1
Smad2	Smad6	1
Smad2	Tex10	1
Smad2	Prdm16	1
Smad2	Elp2	1
Smad2	Armc10	1
Smad2	Polr2b	1
Smad2	Rbl1	1
Smad2	Zfyve9	1
Smad2	Cstf2	1
Smad2	Rbbp7	1
Smad2	Mex3b	1
Smad2	Srsf7	1
Smad2	Zfp451	1
Smad2	Sf3b2	1
Smad2	Utp15	1
Smad2	E2f5	1
Smad2	Uba2	1
Smad2	Cdkn1a	1
Smad2	Tfdp1	1
Smad2	Cse1l	1
Smad2	Ints6	1
Smad2	Pbx1	1
Smad2	Zfp26	1
Smad2	Col3a1	1
Smad2	Nae1	1
Smad2	Eif4enif1	1
Smad2	Arl6ip6	1
Smad2	G3bp2	1
Smad2	Ep300	1
Smad2	Msh6	1
Smad2	Hoxd13	1
Smad2	Psmd14	1
Smad2	Cdkn2b	1
Smad2	Rpl3	1
Smad2	Zrsr2	1
Smad2	Pknox1	1
Smad2	Rnps1	1
Smad2	Ubc	1
Smad2	Xpo1	1
Smad2	Tgfb1	1
Smad2	Hnrnpk	1
Smad2	Smad4	1
Smad2	Kdm2b	1
Smad2	Mapk1	1
Smad2	Tacc3	1
Smad2	Itch	1
Smad2	Dnmt1	1
Smad2	Cdk4	1
Smad2	Cul1	1
Smad2	Golga7	1
Smad2	Slc2a1	1
Smad2	Zmym2	1
Smad2	Cdca4	1
Smad2	Tsn	1
Smad2	Dhx15	1
Smad2	Hmgn2	1
Smad2	Hnrnpm	1
Smad2	Nup107	1
Smad2	Sfr1	1
Smad2	Rpl6	1
Smad2	Acvr1	1
Smad2	Pogz	1
Smad2	Gtf2e2	1
Smad2	Tdg	1
Smad2	Snrpe	1
Smad2	Col1a1	1
Smad2	Rbm12	1
Smad2	Mapk3	1
Smad2	Apex1	1
Smad2	Rfwd3	1
Smad2	Gnrhr	1
Smad2	Rpl15	1
Smad2	Plrg1	1
Smad2	Cul4b	1
Smad2	Pex6	1
Smad5	Id3	1
Smad5	Smad4	1
Smad5	Id2	1
Smad5	Smad6	1
Cdkn2a	E2f1	1
Cdkn2a	Foxm1	1
Fosl1	Eef1a1	1
Fosl1	Osmr	1
Fosl1	Fam83h	1
Fosl1	Frmd4a	1
Fosl1	Pde4a	1
Fosl1	Ccl7	1
Fosl1	Tgfbr2	1
Fosl1	Spred3	1
Fosl1	Strn3	1
Fosl1	Rock2	1
Fosl1	Slc3a2	1
Fosl1	Tmem43	1
Fosl1	Ercc1	1
Fosl1	Gnas	1
Fosl1	Ccl2	1
Fosl1	Tbx18	1
Fosl1	Osbpl10	1
Fosl1	Plec	1
Fosl1	Jun	1
Fosl1	Tmem33	1
Fosl1	Sdcbp2	1
Fosl1	Col5a1	1
Fosl1	Chst4	1
Fosl1	Bend6	1
Fosl1	Sos2	1
Fosl1	Zc3h12a	1
Fosl1	Prok2	1
Fosl1	Eya1	1
Fosl1	Lrrc49	1
Fosl1	Cyp1b1	1
Fosl1	Plp2	1
Fosl1	Ppp1r14b	1
Fosl1	Slc35e4	1
Fosl1	Sema3a	1
Fosl1	Zswim7	1
Fosl1	Ubxn4	1
Fosl1	Gabarapl1	1
Fosl1	Klk9	1
Fosl1	Cirbp	1
Fosl1	Faf1	1
Fosl1	Clcf1	1
Fosl1	Tnfrsf11b	1
Fosl1	Spsb2	1
Fosl1	Elf4	1
Fosl1	Car13	1
Fosl1	Mdc1	1
Fosl1	Rassf1	1
Fosl1	Zyx	1
Fosl1	Kdm3a	1
Fosl1	Hspb6	1
Fosl1	Ppp1r13l	1
Fosl1	Tubb6	1
Fosl1	Baz2a	1
Fosl1	Synpo	1
Fosl1	Eif4e	1
Fosl1	Mad1l1	1
Fosl1	Ngf	1
Fosl1	Dyrk1a	1
Fosl1	Xirp1	1
Fosl1	Lrrn4cl	1
Fosl1	Sh3kbp1	1
Fosl1	Serpinb9b	1
Fosl1	Gigyf2	1
Fosl1	Cab39	1
Fosl1	Ptx3	1
Fosl1	Stk40	1
Fosl1	Dvl2	1
Fosl1	Thbs1	1
Fosl1	Vgll3	1
Fosl1	Maff	1
Fosl1	Il6	1
Fosl1	Rab27b	1
Fosl1	Ece2	1
Fosl1	Ltbp2	1
Fosl1	2200002D01Rik	1
Fosl1	Ahcyl2	1
Fosl1	Bud31	1
