GeneName	0h	1h	4h	10h	20h	36h	48h	72h	168h	4w
Ecsit	4.278425088	4.109455422	3.775679052	4.136489049	4.104160793	3.874005336	4.182980343	4.324695886	4.254101047	4.384830822
Ect2	-2.272731909	-1.47862057	-3.587537353	-1.968587784	-0.696927026	2.16243268	4.172857322	3.314897501	0.197897471	-1.332557584
Ect2l	-6.180039737	-6.104735088	-5.002028518		-5.747773042	-5.587133789		-5.821150945		-5.203286481
Eda	-3.009455697	-3.306457508	-3.710503664	-2.323859803	-2.003420454	-2.476360625	-2.103849388	-2.307745737	-2.608176285	-2.784845514
Eda2r	-5.306483507	-5.1448416	-5.83929226	-5.68333104	-4.835993253	-1.324426336	-0.845205968	-1.327166639	-1.789728072	-3.844107611
Edar	-5.68226577	-6.506377828		-6.847210617	-6.521466828	-6.583414495	-6.246157854	-6.005430216	-6.605715194	-6.258116816
Edaradd	-6.28294586		-6.179802472	-5.856951921			-5.861732712	-6.311315987	-6.081258622	
Edc3	0.980655357	0.904116086	0.220343199	0.771453143	1.064332582	0.999556227	1.072285482	0.889319603	0.986605747	1.14324344
Edc4	0.991332956	1.15027646	1.701403584	1.690212566	1.586740049	1.717839415	1.856178451	1.622516083	1.233369	1.333487353
Eddm3b	-5.225428585	-5.072397819	-5.201101321	-5.184933273		-4.235004677		-3.948236678	-4.688005841	
Edem1	4.651466852	4.817409246	4.614135893	4.687809734	5.231377368	4.902126164	5.449922537	5.583832766	5.417946198	5.091581372
Edem2	3.866715081	3.750375925	3.101578915	3.850441301	4.31343526	3.931149205	4.364848705	3.991044164	4.080047884	3.879499897
Edem3	2.235488633	2.494190815	2.570557765	3.485746553	3.102158056	2.883444487	3.435217971	3.075577158	3.065891633	2.684903071
Edf1	6.216359303	5.721808983	5.784882986	6.084885268	6.148250649	6.148678588	6.072919837	5.977916846	5.731391903	5.702150676
Edn1	-1.647359259	-3.15831893	-2.794623942	-2.822786891	-4.035305656	-3.632620262	-2.182169609	-2.708804572	-2.049059919	-2.468689738
Edn2	-5.095355036	-5.315929321				-4.392906077	-5.82174515		-5.223365918	
Edn3	-7.047894074	-5.419320301		-6.779693156		-6.936212136		-6.814671361		
Ednra	-0.925378074	-1.312740522	-1.272474842	-1.455596753	-0.758738675	-0.777636709	-0.654668086	-0.194374163	-0.923272054	-0.956250396
Ednrb	0.921169129	0.677274729	0.202613658	0.503065044	1.535089583	1.022713184	1.007063374	0.978289506	0.80522615	1.082510767
Eea1	1.952649292	2.233870126	1.749400634	2.167135052	2.194591243	2.202407372	2.335113057	2.347811055	2.177330214	2.284241141
Eed	2.198384683	2.33736917	2.403744851	2.758873708	2.612874631	3.080941275	2.930792681	2.876861649	2.293278534	2.383393423
Eef1a1	9.94545133	10.11433381	9.933645033	10.03293027	9.882430305	9.992849696	9.917136409	10.07908953	9.897590358	10.13112733
Eef1b2	5.77473015	5.584095071	5.614967709	5.919074336	5.800986987	5.955976787	5.839213922	5.779406249	5.289441361	5.364400803
Eef1d	3.396193044	3.055338964	2.939312491	3.254002235	3.212796869	3.500605595	3.611148375	3.475345277	2.922182824	2.863429804
Eef1e1	2.385014275	2.573225484	3.570669729	3.201386726	2.747705295	3.244842152	3.037427339	3.039221193	1.911993137	2.334607748
Eef1g	5.864168936	5.668046552	5.606457247	6.203984521	6.489644033	6.26219467	6.421128804	6.31198658	5.540754206	5.640429846
Eef2	8.104648002	8.340437779	8.161135219	8.339020734	8.296074973	8.418079542	8.363138743	8.522789382	8.382501297	8.267026706
Eef2k	-0.459446975	-0.843904203	-2.418919931	-0.52978687	-0.407569069	-0.008589272	0.545622667	0.800600632	0.444390853	0.265035823
Eefsec	3.027273578	2.92111947	2.374756856	2.834609325	3.125875038	3.357824691	3.367956212	3.26590498	3.108310673	3.060277653
Eepd1	1.835058333	0.756449947	0.834606547	2.037388794	1.686510494	2.267898633	1.15539256	2.303370569	2.658640912	2.611263823
Efcab1	-5.763339224									
Efcab2	-0.667786396	-0.709106119	-0.720319685	-0.630580954	-0.513660146	-1.155017146	-1.071564081	-1.085666987	-0.528571774	-0.361110936
Efcab3	-5.667858999	-6.379759881			-6.445582744	-6.184680825	-5.776109392	-4.582160309	-6.04526971	
Efcab4a	-0.819281296	-1.00914786	-1.637396217	-1.669177128	-1.549452485	-1.860643706	-1.414367291	-1.324894312	-1.010307369	-1.154549238
Efcab4b	-5.2360805	-4.608096496	-5.048029514	-4.874944131	-4.202219082	-4.878961408		-4.492163898		
Efcab5	-6.156633695	-6.960727848		-6.623970821	-6.969773808	-6.896465638	-5.662788187	-5.619177755	-7.179906254	-5.553955815
Efcab7	-3.286591549	-4.264658626	-5.311922393	-3.27449621	-3.954042798	-2.78695253	-3.273727052	-3.304116694	-2.876969492	-4.200800802
Efcab9	-4.128887529	-4.586976187		-3.525159092	-3.860720828	-4.050589054	-4.511667626	-3.923829941	-3.881590426	-3.960696086
Efemp1	1.988439645	1.26011051	0.759729309	0.723152048	0.612447742	0.908806068	1.412677639	1.337272349	1.781151223	1.222283436
Efemp2	-0.213336326	-1.000356392	-0.93082313	-0.277565589	0.299585484	0.310581905	0.620325819	0.525603126	0.319074216	-0.385896916
Efha1	3.749960119	3.434961758	2.974363468	3.454233099	4.054867656	4.15842053	4.186826744	4.627311174	4.413361114	4.042399659
Efha2	-1.71681295	-1.730167747	-1.635725824	-1.521570091	-1.66143499	-1.705952604	-2.061246044	-1.801248415	-1.83554225	-1.854413445
Efhb	-5.171407993	-5.460289379			-6.094152447	-6.041160217	-6.146894228			-6.43406537
Efhc1	-4.348717265	-4.4884864	-3.863805981	-3.19889373	-3.936786263	-4.489300318	-3.833723184	-3.620289777	-5.091364743	-4.747360891
Efhc2	-6.38496057				-6.268002932	-5.761845814	-5.812087114	-4.969862098		-6.375106208
Efhd1	-3.09410945	-3.872611279	-4.112625652	-4.552611853	-4.281013628	-3.547340069	-3.642391639	-4.565801996	-3.844557103	-3.241924086
Efhd2	3.09239215	3.678142194	3.776979721	4.126957211	3.631352127	4.634146537	3.497412397	3.419121521	2.778501199	2.953025315
Efna1	4.376039016	3.250349596	4.78657459	3.478374073	4.125485298	2.646150685	4.595924654	4.78565857	4.861291363	4.416161495
Efna2	-4.278383315	-4.617607635	-5.461890543	-5.075075004	-4.47572798	-4.455671208	-3.64704293	-4.344408541	-5.374886627	-4.990311855
Efna3	-5.753989619			-5.992734609	-5.619935554	-5.725978784	-5.323683038	-5.201541973	-6.100286573	
Efna4	-3.954538983	-4.867339458	-5.093306087	-4.322551099	-4.467996746	-3.964644139	-3.69702812	-3.856270462	-4.238823189	-4.576525946
Efna5	-3.056769154	-2.875601598	-1.734422322	-1.075640137	-2.31112634	-2.388067267	-3.518916457	-2.83228922	-2.991247575	-2.561929542
Efnb1	1.745745347	0.891855611	0.750525873	1.754639198	1.613007525	1.301106556	1.728785731	1.551404035	2.11012974	1.73078645
Efnb2	-1.558083305	-1.734048532	-3.152161067	-3.13115541	-2.587897407	-2.052771306	-1.794868232	-2.258625039	-1.651885517	-2.070228272
Efnb3	-5.568247212	-5.104436791	-5.02701572	-5.70514338	-5.699815739	-5.426886313	-5.23867575	-5.060660117	-6.485822453	
Efr3a	1.606781208	1.8147096	1.754680523	2.034678163	2.035448051	1.984479251	2.18094485	2.165630828	2.08090393	2.020876619
Efr3b	-4.537906947	-5.325358633	-2.876941294	-2.8598731	-2.862451546	-2.782206296	-2.866205278	-3.205047811	-3.281000961	-3.482417048
Efs	-4.594545065	-5.515491092		-5.680945323	-6.1036786	-5.299368401	-4.971419046	-4.698513512	-5.590538528	-5.073849219
Eftud1	0.88878654	0.778778563	0.962670043	1.644676259	1.223925662	1.363609732	1.34941759	1.269312867	1.211194439	1.112857948
Eftud2	1.098173448	1.102607039	1.232289354	1.827345753	1.650271858	2.118667161	2.345773543	2.117488007	1.561724319	1.314593689
Egf	-3.613463285	-3.247251381	-2.845659222	-3.230405704	-3.564136485	-3.701710776	-4.252081171	-3.71448411	-3.185533522	-2.975852737
Egfem1	-3.541829382	-3.326238364	-4.42631901	-2.866278217	-2.82295847	-3.060981	-3.231528865	-2.924590569	-3.048420527	-2.922860275
Egfl6	-4.585021421	-5.483486318	-6.303158764	-6.030136787	-6.178065639	-5.489513035	-5.421910438	-4.269585882	-4.17231586	-6.203591154
Egfl7	1.255927335	1.145575141	0.495636196	0.747420488	1.205179981	0.866196586	0.755412018	0.917652347	1.076071999	0.971197383
Egfl8	-2.683581756	-2.668802736	-3.355413399	-3.960281724	-3.5612774	-4.177894133	-3.454823908	-3.101185748	-3.712063501	-3.520382292
